Query_Id	Post_Title	Post_Body	QE_Entities	ST_Entities	ECO_Entities
0	Sinus infection and pain in collarbone ?	I started having a cough two weeks ago. It started affecting my sinuses about a week ago, so I started taking cold medicine. Instead of getting better, it just got worse. Three days later I would blow my nose and get green-yellow mucous. The next day I woke up and hurt from the crown of my head and down the left side of my head in my ear, jaw, neck, and shoulder. The pain was so bad it even hurt to eat. This is by far the worse sinus infection I have ever had! So, I went to the doctor. He prescribed an antibiotic and an antihistimine (my blood pressure was slightly up, which could have been because of the cold medicine, but it caused him to not want to give me a decongestant). i'm still hurting in my head, ear, and jaw, but not as bad. Mucous is still very colored. But, yesterday, I started hurting in my right shoulder--more like on the tip of the collarbone near my neck. It has some sharp pains, and sometimes dull and achy. I haven't done anything physically that would have caused this type of pain. It doesn't go into the shoulder itself, it just feels like it is in that collarbone. It does hurt also when I move it some and when I cough. Is there any way that this pain could be connected to a sinus infection or even to antibiotics? I'm just wondering because I really have no other explanation to the pain--if this is even an explanation.	['Decongestant brand of oxymetazoline', 'Sharp pain', 'Coughing', 'Prostheses, Dental, Fixed, Crown, Total, Temporary', 'Antibiotics', 'Sinusitis', 'Pain']	['Dilt-XR', 'Sinusitis', 'Pain']	['Coughing', 'Muscle strain', 'Chronic sinusitis', 'Fatigue', 'Bumetanide', 'Ritonavir', 'Facial Pain', 'Antibiotics', 'Fever', 'Nasal Polyps', 'Oseltamivir', 'Headache', 'Sinusitis', 'Pain', 'Congestion']
2	Constant green phlegm for 2 years	I've had constant green phlegm (at first i thought it looked more like a dark almost browning yellow) for 2 years now. It started right after what my doctor told me was a bronchitis. Since then I cough up green chunks every morning. The green chunks are annoying because they get stuck at the back of my throat and sometimes makes breathing annoying when lying down. While I sleep some chunks get stuck on the top of my tonsils. It doesn't completely stop during the day, it keeps me coughing to clear up my throat. What alarms me the most about it is that my doctor has no idea what it is and has given me all kinds of nasal sprays, medications and antibiotics that didn't improve anything at all. I put this post under sinusitis since I was falsely diagnosed with chronic sinusitis by my doctor for a long time even though the  she made me take were negative. The hospital and an ENT specialist also told me I didn't had chronic sinusitis. The ENT says it is not sinus related. The problem is that my immune system is low since then and that I've been having recurring cases of strep throat or laryngitis. The green phlegm however is not clearing up after the strep throat gets treated or the laryngitis clears up. Other then the phlegm, I don't have any other constant symptoms, though at first I had chest pains in the upper middle of my chest but they weren't very frequent. Since I now consider my family doctor almost incompetent, is there a direction I should point her to? Should I go somewhere else? My next step I asked her for is to see an allergist, even though I have not noticed any allergies and even if I change my routine completely or live somewhere else for a while, nothing changes. Can it be stomach related? Can it be lung related? Can it be mold related?	['Nothing', 'Diagnostic radiologic examination', 'Laryngitis', 'Alarm device', 'Coughing', 'Antibiotics', 'Chronic sinusitis', 'Sinusitis', 'Chest Pain', 'Streptococcal sore throat', 'Hypersensitivity', 'Bronchitis']	[]	['Hypersensitivity', 'Coughing', 'Chest Pain', 'Saquinavir', 'Chronic sinusitis', 'Fatigue', 'Bronchitis', 'Valproic Acid', 'Bumetanide', 'Ritonavir', 'Facial Pain', 'Antibiotics', 'Fever', 'Nasal Polyps', 'Headache', 'Sinusitis', 'Pain', 'Congestion']
3	Sinus Buster nasal spray ? (Page 1)	I've been hearing good things about it but before I buy it I was wondering if anyone else had tried it. I have chonic sinusitis and like most people I've tried a lot of remedies and most dont work like they say. Thanks, Andy	['Homeopathic Remedies', 'Sinusitis']	[]	['Fever', 'Nasal Polyps', 'Chronic sinusitis', 'Facial Pain', 'Ritonavir', 'Headache', 'Sinusitis', 'Pain', 'Congestion']
4	Any Success with surgery for sinusitis?	"Diagnosed with chronic sinusitis by ENT, but so far nothing making a change for the better. Quality of life leaves a lot to be desired for months now. Soon to have a re-evaluation with the ENT and possible recommendation for sinus surgery. BUT, no postings here tell of SUCCESS after a sinus surgery!!! Is success that rare, or is this just that those with success don't need further support and help from other patients? My CT scan showed congenital large ""Haller cells"" that are narrowing all other anatomy. Does anyone have any experience with this? Any help from your experience will be greatly appreciated."	['Nothing', 'Butting', 'Chronic sinusitis', 'X-Ray Computed Tomography']	[]	['Fever', 'Nasal Polyps', 'Chronic sinusitis', 'Facial Pain', 'Ritonavir', 'Headache', 'Sinusitis', 'Pain', 'Congestion']
5	Pain even after sinus surgery	I've been to many specialist and couple operations. I've given up. Sinus polyps surgery, deviated septum and the sinus and allergy is still there. Pain behind my right eye, ear, jaw, face, headaches, etc. I don't know what I have. I don't know if it's tmj or sinus infection or both. I've given up. I came to the realization that I may have to live and suffer for the rest of my life. What a sad life to live. Always tired and feeling fatigue. Sinus pressure and headaches throbbing as soon as I wake up. Life sometimes is almost not worth living. I take allergy pills. Pain killers and whatever else I can to not have to feel what I feel on a daily basis. I don't ever wish this on any person even my worst enemy if I had one...	['Fatigue', 'Headache', 'Throbbing Headache', 'Sinus pressure', 'Sinusitis', 'Sinus polyp', 'Pain']	['Dilt-XR', 'Sinusitis', 'Pain']	['phenylephrine nasal', 'Fever', 'Nasal Polyps', 'Facial Pain', 'Chronic sinusitis', 'Ritonavir', 'Headache', 'Sinusitis', 'Pain', 'Congestion', 'Sinus pressure']
6	sinus infection from extracted tooth	I got a tooth pulled 3 weeks ago .On the 5th day after the extraction when the pain was tolerable I blow my nose cause I was having a little congestion. Well after I did that the smell and taste of what ever came out of my nose was sickening! I knew right then I had an infection. It smelled like death. The following day I went to the doctor with my problem and he said it may and sounds like it was cause by the extraction to see my dentist again, he gave me 875 amoxicillin for ten days. I seen my dentist a few days later and told him what was going on and he said to just continue the antibiotics and if it didn't clear up to come back. Well ten days later I still have the infection and it is just slightly better if that. At night I can't breath and taking Sudafed 240 mg seemed to stop working for me I have a good nasal spray that helps me breath and clear some of the puss out. I went back to the dentist like they told me too and said I was doing fine. Although I still had the infection they were hesitant to give me more antibiotics. They gave me clindamycin, after reading tons of BAD reviews of the drug I'm not sure I should continue it. The healing of the extraction seems to be slow to me ,doc said it was okay but I'm not sure although there is no pain. I'm starting to think this is not going to be easy to fix .	['Congestion', 'Amoxicillin', 'Clindamycin', 'Reading (activity)', 'Antibiotics', 'Absence of pain', 'Pain', 'Sudafed']	[]	['Chronic sinusitis', 'Bumetanide', 'Ritonavir', 'Facial Pain', 'Antibiotics', 'Fever', 'Nasal Polyps', 'Headache', 'Sinusitis', 'Pain', 'Congestion']
7	Not sure what could be the problem? Elevated Lipase and Amylase.	I've been having sporadic stomach upset where I eat and then feel sick afterwards. It seems to come and go. Also sporadic IBS like symptoms. I could definitely eat better and more often and drink more so that's part of the problem but I'm trying to improve on this. About a month ago I had eaten around 5pm at night and I vomited around 3am and there were a few undigested french fries in there as if they had just been sitting in my stomach. I tried to augment my system with Apple Cider Vinegar. I recently had blood work done as well as Ultrasound, Xray and CT Scans. None of those imaging scans found anything aside from some barium from years ago in my appendix and some scattered diverticula which were not inflamed. FINDINGS: The imaged lung bases are clear. A tiny cyst is incidentally noted in segment five of the liver. The liver, gallbladder, spleen, pancreas, adrenal glands, and kidneys are otherwise normal. The stomach and the small bowel are normal in caliber wall thickness. Some inspissated barium is seen within the appendix, unchanged from comparison study. There is no luminal dilatation of the appendix. The colon is normal in caliber wall thickness. There are a few scattered noninflamed colonic diverticula. There is no abdominal free fluid. The abdominal aorta is normal in caliber. There are no enlarged abdominal lymph nodes. Urinary bladder and prostate are normal. There is no pelvic free fluid or enlarged pelvic lymph nodes. Bone windows reveal no acute bony abnormality. IMPRESSION: No acute findings in the abdomen or pelvis. However my fasting blood work showed: Lipase: 67 Fluid Amylase 149 Glucose 74 Anion Gap 17 Calcium 10.3 Globulin 3.9 All were out of range. There is no pain except when I have IBS related pain, almost a direct line across the bottom of my stomach and the sigmoid are where the diverticular pouches are. I get a colonoscopy every 5 years because of Familial Polyposis, but I did test negative on an APC Gene mutation and they said I was back in the general population as far as risk. I've had no issues with polyps at all having been checked every 5 years since I was 20 and I'm now 43. I will do another one just to be safe. Do you feel I should have an upper endoscopy to check my stomach? Sometimes there is a dull ache on the left hand side and I of course worry about stomach or pancreatic cancer, but I have no symptoms as of yet just the blood work mentioned above. Thank You! Matt	['Diverticulum', 'Acute lymphocytic leukemia', 'Malignant neoplasm of pancreas', 'colonoscopy', 'Pain', 'Upset stomach', 'Amylases', 'polyps', 'Endoscopy of stomach', 'Absence of pain', 'Adenomatous Polyposis Coli', 'Irritable Bowel Syndrome', 'effusion', 'Cyst', 'Barium', 'Pathological Dilatation', 'Globulins', 'Lipase', 'Apple Cider Vinegar', 'X-Ray Computed Tomography', 'Glucose', 'Ache']	['Pancreatitis', 'Disease', 'Pharmacologic Substance', 'Forfivo XL', 'Hyperlipasaemia', 'Amylases']	['Pancreatitis, Chronic', 'Acute lymphocytic leukemia', 'Steatorrhea', 'Abdominal Pain', 'Pain', 'Dyspnea', 'Ultrase', 'Bumetanide', 'Upset stomach', 'clofarabine', 'Disopyramide', 'Seizures', 'Acute pancreatitis', 'Pancreatin', 'Pancreatitis', 'Ache']
8	4 attacks of acute pancreatitis in the past 5 months	Hi I am 24. I had my first attack of pancreatitis in August with my lipase level in the 2000s and had a CT scan and ultrasound. They said I had a gallstone so they removed my gallbladder and said there were two stones and some sludge. In October I had the same pains again and went into the ER and my lipase level was in the 2000s again. They did another CT scan which was clear. They said that they believe it was probably just a stone that had fallen through and wasn’t removed during surgery which had irritated my pancreas but I had passed it. The beginning of November I had the pain return and my lipase was once again in the 2000s. This time around they did an MRCP and checked for autoimmune disorders. The MRCP came back completely clear and the test for the autoimmune came back negative. This one was my fault. The doctors and surgeon never told me I had food/ alcohol restrictions so I had consumed a fair amount of alcohol Halloween weekend and ate a good amount of pumpkin seeds and the pain came while I was eating the seeds. They then told me I needed to be on a low fat diet and absolutely no alcohol. Since then I have been on a strict low fat diet. I don’t eat anything over 3g and I have not touched alcohol since that Halloween weekend. On the 23rd of December I woke up and was having a low fat fat breakfast of lean turkey sausage and egg whites when I felt a really sharp sudden pain. I thought it wasn’t the same since I’m the past it’s been more gradual and progresses from discomfort to pain. This time it was very sudden and more painful than before. I go into the ER and my lipase is once again in the 2000s but this time around the pain is much worse. I am calling the nurses in every 20 minutes because the morphine had worn off and I can’t stand the pain anymore. They up me to Dilauded and the pain starts to get better. In the morning they do a blood test again and my lipase rose to 9000!!! They did a test a couple of hours later to see if there was a lab error and my lipase was in the 6000s. This has never happened with any of my other attacks they always went down over night. They did another MRCP which is completely clear and just recommend I go see a specialist for a EUS. Never had any other symptoms with my attack besides upper abdominal pain first three times it was center left but the last time was center right. Never had issues with nausea, vomiting, diarrhea, fever, or increased heart rate. Even though I did drink on Halloween weekend I’ve never been a big drinker at all. I would have 1 maybe 2 drinks a week so they do not think it has anything to do with drinking. My cholesterol is good. I don’t take any medications that have a correlation with pancreatitis. I have no family history of pancreas issues. I am having the EUS next week but I am just worried that it wont lead me to any answers. The doctor said 20% of people have idiopathic pancreatitis and that you just learn to manage but I don’t want to keep getting pancreatitis every month to month and a half. All the doctors and surgeon have said they are certain that the first attack was because of gallstones but if it was and then the second attack was because a stone slipped through and the third attack was because I didn’t know you weren’t supposed to drink while the pancreas was healing why did I get it the 4th time? I was trying really hard with my diet and doing well. I am overweight but since this has started happening I’ve been trying to be healthier eating and excercise wise and have lost 35 lbs since August. I was wondering if anyone had any insight or any thoughts on what could be happening. I am scared of this turning into chronic pancreatitis. Also I know I am being a worry wart but if there were tumors or anything on my pancreas that would have shown up on the CT scan or MRCP, right	['Diarrhea and vomiting, symptom', 'Breakfast', 'Cholangiopancreatography, Magnetic Resonance', 'Pain', 'Nausea and vomiting', 'Unreliable laboratory result', 'Upper abdominal pain', 'Insight', 'Alcohols', 'Fever', 'Thinking, function', 'Malaise', 'Alcohol consumption', 'Skin Papilloma', 'Cholelithiasis', 'Pancreatitis', 'Morphine', 'Neoplasms', 'Tachycardia', 'Lipase', 'Pancreatitis, Chronic', 'X-Ray Computed Tomography', 'Endoscopic Ultrasound', 'Cholesterol', 'Autoimmune Diseases']	['Acute pancreatitis', 'Pancreatitis', 'Traumatic AND/OR non-traumatic injury']	['Pancreatitis, Chronic', 'Abdominal Pain', 'beta2-Adrenergic Agonist [EPC]', 'Presenile dementia', 'Cholesterol', 'Morphine', 'Bumetanide', 'Malaise', 'Inflammation', 'Acute pancreatitis', 'Glucose', 'Fever', 'Pancreatitis', 'Alcohol consumption', 'Pain']
9	Distal Pancreatectomy, Splenectomy, Pancreatic Abscesses	"Hi, my husband had distal panceatectomy and splenectomy 3 weeks ago, came home for a couple of days and had been in hospital since as he developed infection, it was treated and re-occurred. The CT scan seems to reveal pancreatic absesses, formed (from what I read on the net) from infected pseydocysts. The first operation was complicated with massive blood loss and a part of the infected pancreas wasn't removed due to the complication. He has been on anti-biotics continually for 7 weeks now. My question: We have had a tough time throughout this whole process and I would like to know the complications that can set in from further open surgery, they might re-enter through the original cut to drain all the abscesses. If the draining operation is done and the abscesses clear, is it something that can re-occur? He lost a lot of weight and doesn't need insuline or other enzyme producing medication. Is there a risk to this surgery? Is the pancreatic abscesses the ""last"" complication we can expect from the original operation? The doctor's have not been providing a lot of information...."	['X-Ray Computed Tomography', 'Incised wound', 'Massive hemorrhage', 'Abscess of pancreas', 'Abscess']	['Abscess of pancreas', 'Disease', 'Pancreatitis']	['Acute pancreatitis', 'Pancreatitis', 'Pancreatitis, Chronic']
11	Pancreatitis - What is causing it?	Hi everyone, I'm 22 years old and I've been having flare-ups since March 2010. I didn't go to the hospital until my recent acute attack in July. Unfortunately, they assumed I was too young for pancreatitis and didn't even test my amylase or lipase and instead assumed I had an ulcer and suggested a follow-up with a gastroenterologist. Several invasive tests later, after finding no ulcer, I was sent for a simple blood test which determined elevated enzymes and diagnosed with pancreatitis. They had me eating jello and chicken broth for about 2 weeks before I could start eating some solids. My symptoms were: chronic abdominal pressure/pain, back pain, trouble breathing especially when lying on my back and anxiety. After a month of healing I felt perfect. Then suddenly... sitting at my computer and eating dinner, my upper abdomen and left chest were in excruciating pain (different from my July attack). Once I could actually move I went to the hospital. They only set me up with a Nurse Practitioner who did a blood test, found my amylase to be about 60ish and sent me home. After that I just kept hurting worse and worse, feeling it in different areas of the abdomen after eating this time. I started feeling nauseous, which I didn't get with the July attack, so nauseous I went about 5 days without so much as a sip of chicken broth before returning to the hospital (I went to a new one this time). They found ketones in my urine (anorexia I assume?), elevated Basophils , High Bili total (it went from a .9 in July to 3.7 in September). Im also iron deficient and found I have some acid reflux when they did an edndoscopy in July. I've had every test imaginable (and multiple times) - MRCP, CT scan, Ultrasound, X rays- all producing normal results. Currently, I'm on max daily doses of Protonix and Pepcid AC (for about 2 weeks now). Obviously, I don't drink alcohol and I never did smoke or drink caffeine. I limit fat intake only and avoid foods which seem to aggravate my stomach. I'm constantly dehydrated no matter how much water I drink and my blood pressure has been high (quite high) for months. I'm all of 110lbs and otherwise healthy. My gastroenterologist suggested an ERCP next but apparently there's a long waiting list to see a specialist for the procedure. I'm starting to lose faith in all these doctors as the emergency room keeps sending me away and my doctors want to diagnose it as chronic pancreatitis with an unknown cause - end of story. I'm only 22 years old and obviously this has been devastating. But the worst part is just not knowing - ANYTHING. So I realized I'd have to find out all I can and ask them to do specific tests/procedures in order to get my diagnosis. Is this auto-immune, chronic, just acute? How do I find out? What kind of blood tests should I request? What red flags should I be looking for? What do I eat? Should I find a new doctor? Any reccommendations of hospitals/doctors that actually provide results/diagnoses? What could be causing it? Absolutely anything at this point would help me. Thanks in advance to anyone who responds. God bless you all!	['Telling untruths', 'Pepcid AC', 'Protonix', 'Cholangiopancreatography, Magnetic Resonance', 'Ulcer', 'Anxiety', 'Ketones', 'Amylases', 'Back Pain', 'Supper', 'Iron', 'Sitting position', 'Endoscopic Retrograde Cholangiopancreatography', 'Caffeine', 'Patient on waiting list (finding)', 'Pancreatitis', 'Smoke', 'Water', 'Anorexia', 'Gastroesophageal reflux disease', 'Lipase', 'Pancreatitis, Chronic', 'X-Ray Computed Tomography', 'Excruciating pain']	[]	['Pancreatitis, Chronic', 'Abdominal Pain', 'Insulin Resistance', 'Back Pain', 'Anorexia', 'Thalidomide', 'Lesion', 'receptor', 'Anxiety', 'Inflammation', 'Epoprostenol', 'Ulcer', 'Seizures', 'Acute pancreatitis', 'Pancreatitis', 'Hemorrhage', 'Muscle Cramp']
